Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,CU18,NZDep2018
3,2.0,742.0,950000,-36.8734548,174.5973287,7003490,36,27,21,24,27,36,12,171,3.0
3,2.0,186.0,900000,-36.9201159,174.75969609999999,7007767,78,42,54,36,30,42,14,270,5.0
4,3.0,204.0,640000,-36.963376700000005,174.82711930000002,7008282,69,36,15,21,12,15,9,165,9.0
4,3.0,204.0,640000,-36.963376700000005,174.82711930000002,7008282,69,36,15,21,12,15,9,165,9.0
4,2.0,902.0,2450000,-36.8686782,174.8757624,7006644,39,15,9,27,30,27,10,141,2.0
3,1.0,921.0,1600000,-36.8687323,174.87550480000002,7006644,39,15,9,27,30,27,2,141,2.0
3,1.0,714.0,1450000,-36.866313500000004,174.7172836,7004584,63,21,21,36,33,18,1,189,3.0
5,3.0,1501.0,1730000,-36.934496700000004,175.1875645,7007094,15,15,3,15,36,33,1,120,3.0
4,2.0,2566.0,1250000,-37.18291970000001,174.82619509999998,7010325,90,21,63,48,27,48,2,291,1.0
4,2.0,695.0,930000,-37.185345299999994,174.82719430000003,7010325,90,21,63,48,27,48,2,291,1.0
3,1.0,150.0,710000,-36.915392600000004,174.6740353,7007358,57,42,27,33,24,33,10,207,8.0
4,2.0,133.0,1280000,-36.8817233,174.74389299999999,7004990,57,30,15,27,30,15,5,174,6.0
2,1.0,359.0,1400000,-36.871350799999995,174.75929430000002,7005389,30,27,39,21,6,12,26,141,6.0
4,2.0,400.0,1800000,-36.85468770000001,174.8386994,7006292,33,6,12,18,21,36,5,132,1.0
3,2.0,1618.0,1080000,-36.7933277,175.0791116,7003392,39,9,24,21,24,51,2,171,6.0
4,2.0,253.0,720000,-37.001727100000004,174.9036267,7009753,45,33,24,21,30,30,4,186,4.0
4,2.0,2856.0,1270000,-36.931383600000004,174.63750880000003,7007210,54,12,15,30,24,18,12,153,2.0
7,4.0,399.0,1450000,-36.968270000000004,174.9306696,7009312,126,72,90,51,36,42,25,414,5.0
4,2.0,115.0,1000000,-36.9011595,174.7359376,7005056,57,36,30,18,15,24,6,183,9.0
3,3.0,635.0,710000,-37.020591499999995,174.8684589,7009455,96,39,21,33,15,21,37,225,10.0
4,2.0,600.0,1055000,-36.759316299999995,174.71186469999998,7002590,66,33,39,27,42,51,1,255,2.0
5,2.0,883.0,1560000,-36.87510579999999,174.91412340000002,7006877,30,15,12,18,39,45,2,162,3.0
3,2.0,130.0,720000,-36.8563101,174.730722,7004733,21,39,39,21,21,12,10,156,5.0
5,5.0,659.0,1750000,-36.6050069,174.6740986,7001456,66,21,21,33,18,18,6,174,3.0
5,4.0,557.0,1675000,-36.681093100000005,174.73887919999999,7001929,27,12,21,21,12,21,6,117,2.0
5,4.0,608.0,2075000,-36.685947600000006,174.7427924,7001929,27,12,21,21,12,21,6,117,2.0
4,1.0,862.0,1000000,-36.79001470000001,175.02728390000001,7003355,30,24,15,24,21,24,5,144,4.0
3,1.0,1055.0,830000,-36.7893761,175.0281423,7003355,30,24,15,24,21,24,5,144,4.0
3,2.0,402.0,710000,-36.9114342,174.6378628,7007169,57,18,36,33,15,18,6,174,7.0
3,1.0,701.0,1425000,-36.8718357,174.7366601,7004963,48,54,51,27,12,12,3,201,5.0
3,2.0,256.0,3275000,-36.8807382,174.7981463,7005843,12,12,6,9,15,33,59,87,1.0
3,1.0,285.0,880000,-36.8815435,174.8228154,7006221,36,27,27,24,9,33,59,168,3.0
5,4.0,452.0,1175000,-36.580596899999996,174.6722249,7001429,36,6,12,27,18,33,11,141,1.0
2,1.0,605.0,640000,-36.871876,174.5890894,7003489,66,21,33,27,6,9,5,153,10.0
3,1.0,1343.0,1335000,-36.8930616,174.6863771,7004336,66,42,33,27,21,21,23,216,9.0
5,3.0,766.0,965000,-37.093205600000005,174.9445781,7010149,87,45,57,45,30,45,2,312,2.0
4,1.0,1437.0,920000,-36.769887100000005,174.5509508,7002193,30,12,12,18,15,15,2,108,1.0
4,2.0,702.0,1150000,-36.762716299999994,174.5340476,7002170,84,30,54,36,42,42,4,291,1.0
4,2.0,451.0,1260000,-36.9270196,174.6492794,7007264,75,18,18,51,33,24,12,228,1.0
2,2.0,123.0,18000000,-36.8927725,174.77979109999998,7005755,3,9,15,6,15,21,23,60,4.0
5,4.0,505.0,1600000,-36.8931018,174.8022017,7006015,33,18,24,30,30,21,9,150,7.0
4,2.0,221.0,720000,-36.982632,174.796744,7008064,123,51,48,27,24,21,5,300,9.0
4,2.0,214.0,1250000,-36.798371200000005,174.64743,7002267,60,66,60,24,24,18,7,252,2.0
4,2.0,191.0,530000,-36.798371200000005,174.64743,7002267,60,66,60,24,24,18,7,252,2.0
4,2.0,245.0,1100000,-36.798371200000005,174.64743,7002267,60,66,60,24,24,18,7,252,2.0
2,1.0,80.0,580000,-36.9718136,174.8320786,7008292,54,30,39,15,27,39,9,201,8.0
3,2.0,1528.0,770000,-36.9772792,174.63167719999998,7007165,27,3,18,30,15,12,2,108,2.0
1,1.0,54.0,560000,-36.8466718,174.75996809999998,7005288,6,63,60,18,18,18,10,183,4.0
4,1.0,2342.0,1360000,-36.9586578,174.6493112,7007292,36,15,9,21,21,33,12,138,2.0
3,1.0,1884.0,720000,-36.8745465,174.550974,7003426,33,24,15,24,39,36,5,156,4.0
4,2.0,847.0,2000000,-36.891025799999994,174.92200649999998,7006898,45,27,24,24,42,45,9,210,2.0
5,3.0,1629.0,2300000,-36.890492,174.9226706,7006898,45,27,24,24,42,45,9,210,2.0
3,1.0,293.0,700000,-36.9294147,174.7245278,7007635,66,45,39,30,24,27,3,222,5.0
6,4.0,409.0,1375000,-36.9761204,174.9157279,7009087,117,81,90,60,27,39,25,423,2.0
4,2.0,650.0,870000,-36.8948354,174.8591483,7006591,21,9,15,3,24,12,3,87,10.0
4,2.0,815.0,1425000,-36.885200700000006,174.98930009999998,7007031,57,12,6,45,30,33,6,177,1.0
4,3.0,275.0,1825000,-36.8400283,174.7420513,7004858,12,24,36,15,27,45,5,159,2.0
3,1.0,1300.0,3600000,-36.8402456,174.7421394,7004858,12,24,36,15,27,45,5,159,2.0
3,2.0,179.0,1575000,-36.8659995,174.7375053,7004944,30,33,33,18,15,15,10,135,2.0
3,1.0,89.0,410000,-36.6143145,174.8032398,7001718,36,21,30,24,21,36,9,165,8.0
4,2.0,644.0,1100000,-36.9593057,174.9341799,7009287,108,39,72,69,30,33,25,351,2.0
5,3.0,539.0,1225000,-36.9595355,174.93410569999998,7009287,108,39,72,69,30,33,25,351,2.0
3,1.0,451.0,640000,-36.8495702,174.6102219,7003661,57,21,36,21,15,18,15,168,7.0
3,2.0,1006.0,870000,-36.7925349,174.6953357,7002430,48,21,24,30,18,21,6,168,8.0
3,2.0,809.0,1325000,-36.8906925,174.93480780000002,7006944,27,9,12,12,12,45,5,117,3.0
3,1.0,80.0,500000,-36.9624846,174.793161,7008027,93,39,18,24,24,24,5,225,10.0
3,1.0,556.0,1950000,-36.862159399999996,174.74280919999998,7004935,33,39,39,21,27,9,10,165,4.0
5,2.0,471.0,2075000,-36.8632281,174.7416011,7004935,33,39,39,21,27,9,10,165,4.0
4,3.0,195.0,1450000,-36.8589527,174.7800434,7005693,30,51,48,21,15,15,8,180,5.0
4,2.0,1603.0,740000,-37.0793779,175.0703464,7010283,57,30,24,27,21,39,2,207,3.0
4,2.0,574.0,1000000,-37.052032000000004,174.87727890000002,7009609,117,36,69,57,51,42,6,381,3.0
3,1.0,89.0,420000,-36.8549925,174.643131,7003952,45,30,21,21,18,21,10,156,7.0
4,1.0,814.0,840000,-36.855803,174.642841,7003952,45,30,21,21,18,21,10,156,7.0
3,1.0,90.0,600000,-36.8547334,174.643806,7003952,45,30,21,21,18,21,10,156,7.0
3,1.0,80.0,450000,-37.0165899,174.8721467,7009446,75,54,24,27,15,30,37,228,9.0
5,3.0,581.0,1100000,-36.5815524,174.6899519,7001488,24,12,9,12,15,36,11,111,7.0
2,1.0,79.0,820000,-36.8791334,174.8226494,7006220,33,24,27,30,6,18,59,132,4.0
3,1.0,360.0,660000,-36.952785,174.803846,7008085,57,24,27,18,21,27,3,177,10.0
5,2.0,650.0,1325000,-36.9230544,174.9049592,7009011,39,27,30,21,27,27,1,171,2.0
4,2.0,675.0,1150000,-36.8975677,174.9186666,7006910,48,33,30,21,24,21,9,177,6.0
4,3.0,150.0,990000,-36.802913700000005,174.73397649999998,7002962,27,15,36,18,15,30,1,147,2.0
5,3.0,315.0,1100000,-36.7905871,174.61712250000002,7002238,66,162,63,24,12,21,1,351,3.0
2,2.0,103.0,750000,-36.8637961,174.7559946,7005364,15,57,72,18,6,6,2,174,4.0
4,3.0,450.0,1280000,-36.889838700000006,174.91784769999998,7006891,39,12,18,21,33,30,6,150,3.0
3,2.0,140.0,900000,-36.709942299999994,174.740653,7002059,36,33,33,30,30,51,3,207,3.0
4,2.0,974.0,1380000,-36.859434,174.90194440000002,7006767,33,12,9,21,30,30,6,138,6.0
3,2.0,178.0,1195000,-36.9193537,174.8890656,7008816,75,39,51,30,27,33,5,258,6.0
3,2.0,1077.0,1025000,-36.887128499999996,174.69160290000002,7004332,33,30,24,27,12,18,23,147,7.0
4,1.0,550.0,850000,-36.8874761,174.6913819,7004332,33,30,24,27,12,18,23,147,7.0
4,3.0,417.0,1260000,-36.9002271,174.9206737,7006919,30,15,12,15,18,57,9,147,6.0
3,1.0,80.0,500000,-37.0172609,174.88889269999999,7009658,78,90,48,24,24,30,37,291,9.0
5,4.0,1047.0,3000000,-36.6246261,174.80340859999998,7001722,27,18,27,12,9,33,9,129,1.0
4,2.0,576.0,1900000,-36.855118100000006,174.82824440000002,7006174,39,15,27,33,18,42,11,171,2.0
3,1.0,335.0,540000,-36.8444566,174.6231946,7003825,57,24,24,30,15,12,15,165,10.0
3,1.0,80.0,480000,-36.973832,174.8415098,7008409,63,39,39,21,15,12,29,189,9.0
3,1.0,70.0,490000,-36.9799062,174.8256274,7008227,60,30,27,21,12,27,5,177,10.0
4,1.0,129.0,1775000,-36.8950614,174.71025649999999,7004514,33,21,15,27,15,21,9,126,3.0
3,1.0,80.0,500000,-36.9733379,174.7957699,7008037,96,27,39,33,27,24,5,249,9.0
3,1.0,495.0,690000,-36.919883899999995,174.66132109999998,7007316,24,6,24,15,6,15,12,105,5.0
4,2.0,848.0,890000,-37.01195560000001,174.9131413,7009845,45,39,24,21,36,27,37,195,4.0
2,1.0,90.0,630000,-36.8170459,174.7326281,7004846,24,18,15,15,30,30,3,135,2.0
3,1.0,86.0,490000,-36.9018811,174.75893530000002,7005469,9,21,15,18,3,42,6,111,7.0
4,4.0,697.0,1425000,-36.8988174,174.74959219999997,7005232,24,33,27,15,12,9,26,117,7.0
5,5.0,415.0,2300000,-36.725024700000006,174.7481043,7002080,48,39,24,30,33,27,2,198,2.0
3,1.0,73.0,650000,-36.9028184,174.709662,7004527,45,30,30,21,21,24,10,168,7.0
3,1.0,90.0,495000,-37.0155102,174.87758159999998,7009543,66,45,27,12,27,30,37,198,10.0
5,4.0,740.0,2625000,-36.8754184,174.8349235,7006333,45,24,6,33,27,39,7,171,1.0
5,2.0,809.0,1100000,-36.96529879999999,174.85797340000002,7008515,78,63,60,27,30,48,29,306,7.0
5,3.0,1310.0,3900000,-36.8735266,174.7670636,7005561,90,33,12,15,27,45,23,219,2.0
4,3.0,303.0,1160000,-36.83828270000001,174.65450969999998,7004216,39,12,24,24,12,24,10,138,7.0
3,1.0,675.0,980000,-36.8384958,174.65464369999998,7004216,39,12,24,24,12,24,10,138,7.0
4,2.0,502.0,1150000,-36.81402620000001,174.6412919,7002280,60,36,18,36,42,36,7,213,1.0
3,1.0,80.0,580000,-36.9273044,174.8495935,7008448,57,45,33,21,18,21,18,195,10.0
3,1.0,353.0,1450000,-36.9773939,174.87510680000003,7008765,33,39,21,12,21,3,29,135,10.0
5,3.0,325.0,660000,-36.98017120000001,174.9361137,7009314,21,18,9,15,6,6,25,78,7.0
7,5.0,398.0,700000,-36.9766548,174.9241208,7009314,21,18,9,15,6,6,25,78,7.0
7,5.0,428.0,1475000,-36.9806461,174.9295512,7009314,21,18,9,15,6,6,25,78,7.0
5,4.0,325.0,660000,-36.9794367,174.9359015,7009314,21,18,9,15,6,6,25,78,7.0
5,4.0,325.0,660000,-36.979867299999995,174.935215,7009314,21,18,9,15,6,6,25,78,7.0
4,2.0,180.0,1625000,-36.873373,174.79337560000002,7005832,57,27,15,18,30,27,59,180,4.0
5,3.0,632.0,4650000,-36.845758200000006,174.745697,7005079,30,15,24,36,39,51,5,198,2.0
3,1.0,383.0,750000,-36.8200841,174.6256524,7003775,69,21,42,18,9,6,7,162,8.0
3,2.0,391.0,2125000,-36.868233000000004,174.7830276,7005719,24,24,18,18,24,12,59,123,1.0
3,2.0,314.0,280000,-37.2066601,174.88451919999997,7010468,87,60,81,45,39,42,13,345,5.0
4,2.0,556.0,740000,-36.414085799999995,174.7242024,7001328,57,15,27,33,30,105,2,261,5.0
3,2.0,810.0,810000,-36.4148331,174.7238749,7001328,57,15,27,33,30,105,2,261,5.0
6,3.0,852.0,1325000,-36.6026993,174.802068,7001700,45,15,24,33,39,54,3,210,1.0
3,1.0,141.0,1300000,-36.8531726,174.82464330000002,7006154,27,24,24,15,18,24,13,135,5.0
4,1.0,808.0,840000,-37.049152500000005,174.9108138,7009903,33,15,12,15,21,33,4,132,3.0
5,3.0,1148.0,4000000,-36.8685549,174.8798402,7006673,45,15,9,27,21,45,10,165,2.0
3,2.0,985.0,1425000,-37.2612474,174.93893880000002,7010984,30,12,15,18,15,27,7,117,5.0
4,2.0,433.0,670000,-37.262183,174.9402622,7010984,30,12,15,18,15,27,7,117,5.0
4,3.0,628.0,1650000,-36.8958961,174.82036530000002,7006127,39,27,27,30,15,12,9,147,5.0
4,2.0,809.0,1425000,-36.8871669,174.92818369999998,7006939,39,15,15,18,33,45,5,159,3.0
3,1.0,392.0,530000,-37.1970898,174.90051730000002,7010357,45,27,33,15,24,39,13,180,9.0
5,4.0,1272.0,4300000,-36.8648621,174.7985754,7005821,39,18,12,18,30,30,59,150,4.0
4,3.0,408.0,920000,-36.8281956,174.6150304,7003619,84,51,69,60,36,39,15,333,2.0
2,2.0,80.0,700000,-36.8516708,174.7560052,7005291,57,270,138,30,15,18,10,522,8.0
2,2.0,80.0,430000,-36.8516708,174.7560052,7005291,57,270,138,30,15,18,10,522,8.0
4,1.0,969.0,670000,-36.970082,174.80525580000003,7008126,42,27,12,12,12,9,5,114,10.0
4,2.0,101.0,900000,-36.904331799999994,174.68384419999998,7004358,33,60,45,24,27,36,10,225,8.0
4,2.0,122.0,920000,-36.904331799999994,174.68384419999998,7004358,33,60,45,24,27,36,10,225,8.0
4,2.0,176.0,940000,-36.904331799999994,174.68384419999998,7004358,33,60,45,24,27,36,10,225,8.0
4,2.0,101.0,900000,-36.904331799999994,174.68384419999998,7004358,33,60,45,24,27,36,10,225,8.0
4,2.0,405.0,500000,-36.9530178,174.813736,7008092,72,27,15,24,18,6,3,162,9.0
3,2.0,108.0,1000000,-36.974782,174.8565882,7008640,63,72,42,30,21,48,29,279,7.0
7,2.0,2410.0,600000,-37.049080100000005,174.93472769999997,7010037,54,42,33,21,15,24,12,192,9.0
3,2.0,89.0,2075000,-36.8604806,174.8216994,7006043,36,24,27,18,27,39,13,171,10.0
4,2.0,943.0,1790000,-36.8899244,174.9359161,7006986,54,18,15,33,24,39,5,186,2.0
3,1.0,685.0,1260000,-36.8829671,174.81212240000002,7006096,48,24,24,39,27,27,59,195,4.0
4,2.0,214.0,1360000,-36.8832505,174.811194,7006096,48,24,24,39,27,27,59,195,4.0
3,1.0,1445.0,640000,-37.257248,174.7348917,7010436,54,15,21,24,24,36,4,171,7.0
6,3.0,622.0,1150000,-36.9865073,174.9049914,7008990,60,45,42,33,24,18,25,213,7.0
5,4.0,1998.0,7000000,-36.863985,174.8519671,7006417,51,27,9,21,42,51,29,192,1.0
5,4.0,818.0,3600000,-36.862909,174.85108369999998,7006417,51,27,9,21,42,51,29,192,1.0
4,3.0,399.0,1175000,-36.9257759,174.74583940000002,7007739,66,57,63,24,33,54,26,297,8.0
8,4.0,990.0,1250000,-36.926492100000004,174.74812980000002,7007739,66,57,63,24,33,54,26,297,8.0
5,3.0,842.0,1125000,-36.9254157,174.7467049,7007739,66,57,63,24,33,54,26,297,8.0
3,1.0,875.0,835000,-36.867483299999996,174.62131069999998,7003862,54,30,27,27,15,21,4,183,9.0
3,1.0,406.0,1450000,-36.8895914,174.7520841,7005203,36,27,21,27,12,24,26,150,4.0
3,2.0,187.0,2750000,-36.855511299999996,174.78838090000002,7005662,42,24,27,27,21,57,8,195,1.0
3,2.0,402.0,1050000,-36.893851700000006,174.92262019999998,7006905,21,18,3,15,15,24,9,96,3.0
2,1.0,71.0,560000,-36.9795206,174.87921210000002,7008768,33,21,21,18,12,21,29,126,8.0
4,1.0,690.0,650000,-36.964788899999995,174.8096399,7008118,69,15,27,30,15,12,9,168,10.0
3,1.0,825.0,765000,-36.992290600000004,174.858979,7009405,30,30,12,12,3,6,29,105,8.0
4,1.0,818.0,550000,-37.028742,174.8752312,7009580,84,39,33,27,21,24,37,222,10.0
3,1.0,90.0,490000,-37.037966100000006,174.9289185,7010014,75,36,24,30,24,24,12,225,10.0
3,1.0,842.0,830000,-36.8972398,174.6707393,7004279,54,24,24,27,33,24,2,183,6.0
4,2.0,761.0,1575000,-36.618976,174.7738847,7001676,30,6,15,12,18,30,2,111,4.0
2,1.0,755.0,960000,-36.618976,174.7738847,7001676,30,6,15,12,18,30,2,111,4.0
3,1.0,602.0,1550000,-36.864796999999996,174.73345890000002,7004943,21,54,33,21,15,24,10,174,7.0
3,1.0,658.0,695000,-36.7950265,174.69399840000003,7002434,48,15,12,18,15,9,6,117,8.0
5,2.0,880.0,1875000,-36.8703363,174.8294094,7006191,21,9,12,15,18,27,4,102,1.0
4,3.0,1750.0,6500000,-36.8661752,174.84977959999998,7006420,42,21,12,21,39,39,29,174,1.0
4,3.0,1531.0,3550000,-36.86712120000001,174.8476095,7006420,42,21,12,21,39,39,29,174,1.0
3,1.0,675.0,540000,-37.0267161,174.88453619999999,7009670,72,36,24,18,15,18,37,177,10.0
2,1.0,921.0,920000,-36.784985799999994,175.0462789,7003374,30,15,9,24,15,30,4,123,7.0
4,4.0,567.0,1750000,-37.062185,174.9214206,7009990,33,12,15,21,18,30,14,129,1.0
4,2.0,607.0,1300000,-36.888343400000004,174.8198618,7006114,42,12,36,24,12,33,9,153,3.0
4,1.0,1014.0,2550000,-36.8851289,174.9011172,7006814,54,9,18,30,36,51,4,201,4.0
4,3.0,734.0,1350000,-36.8891292,174.89535880000003,7006723,51,21,18,30,21,21,4,162,5.0
5,4.0,336.0,545000,-36.801329100000004,174.666149,7002304,33,30,24,15,12,18,7,135,4.0
5,3.0,244.0,2325000,-37.0310912,174.8725122,7009582,90,33,24,21,21,3,37,192,10.0
4,2.0,594.0,1100000,-36.939972,174.9131935,7009039,33,18,15,27,12,21,4,126,4.0
4,2.0,784.0,1825000,-36.8785526,174.736405,7004975,27,66,72,30,12,18,5,228,3.0
5,3.0,202.0,1450000,-36.988448999999996,174.84477080000002,7009388,63,39,36,9,15,6,29,168,10.0
4,2.0,469.0,1725000,-36.8678378,174.80235969999998,7005966,45,30,15,24,21,27,59,168,2.0
3,1.0,690.0,1150000,-36.89801,174.89069540000003,7006699,45,12,15,33,12,15,2,135,3.0
3,2.0,238.0,2450000,-36.8570908,174.8502488,7006413,36,18,9,21,27,66,29,174,3.0
3,2.0,1191.0,2100000,-37.065132899999995,174.9140949,7009923,30,18,18,21,27,30,14,147,1.0
4,3.0,572.0,1550000,-37.06610560000001,174.91237180000002,7009923,30,18,18,21,27,30,14,147,1.0
2,1.0,5210.0,730000,-36.6792597,174.4379383,7001365,39,24,18,24,27,30,5,162,4.0
4,2.0,450.0,1125000,-36.8005504,174.6451824,7002271,12,12,9,6,9,75,7,129,7.0
4,2.0,130.0,650000,-37.0144149,174.8894841,7009644,78,42,39,24,24,21,37,228,8.0
3,1.0,81.0,830000,-36.7285787,174.73024640000003,7002686,36,36,33,27,27,30,1,183,5.0
2,1.0,84.0,1060000,-36.8551765,174.81299669999999,7005958,15,27,12,6,30,27,13,120,3.0
4,2.0,417.0,1325000,-36.922951700000006,174.92284850000001,7009157,15,9,15,3,15,483,2,534,6.0
3,1.0,361.0,600000,-37.0383231,174.916708,7009911,51,36,24,18,6,18,12,150,7.0
4,2.0,5175.0,2300000,-36.7827438,175.0620241,7003376,39,21,15,30,24,60,4,189,1.0
5,2.0,174.0,1090000,-36.907443900000004,174.7156062,7004673,36,36,27,12,15,27,10,147,8.0
6,4.0,465.0,2075000,-37.201272700000004,174.8158397,7010456,42,15,18,27,21,33,1,150,5.0
3,1.0,110.0,530000,-37.0254779,174.899302,7009794,54,33,27,27,12,12,37,162,10.0
5,3.0,589.0,1130000,-37.008384899999996,174.9171628,7009942,48,36,27,21,27,24,4,183,3.0
4,2.0,451.0,835000,-36.9209739,174.6637504,7007315,42,21,21,24,21,21,12,150,6.0
6,3.0,1265.0,1690000,-37.0491615,174.89424590000002,7009717,42,21,18,15,12,42,6,150,5.0
3,1.0,100.0,612000,-36.8807816,174.6550089,7004150,48,24,39,21,24,33,10,189,9.0
5,3.0,1405.0,1100000,-36.776875700000005,174.717903,7002619,54,54,42,21,27,30,6,231,3.0
2,1.0,70.0,510000,-36.907872999999995,174.8431008,7008326,36,42,36,30,12,15,18,180,3.0
5,3.0,536.0,980000,-36.9657304,174.864446,7008619,45,24,30,15,18,6,29,141,8.0
5,2.0,819.0,3075000,-36.8794045,174.80698280000001,7005989,30,9,6,24,24,18,59,114,1.0
4,2.0,612.0,1000000,-36.608833399999995,174.6836301,7001514,48,3,12,33,15,24,5,132,1.0
5,4.0,354.0,1275000,-36.967034399999996,174.9359253,7009309,108,63,93,63,30,51,25,408,1.0
2,1.0,85.0,740000,-36.8520455,174.8302353,7006171,18,18,9,15,18,36,11,111,3.0
4,4.0,827.0,5300000,-36.853008700000004,174.8295425,7006171,18,18,9,15,18,36,11,111,3.0
5,3.0,479.0,2550000,-36.85383220000001,174.82258969999998,7006159,54,18,15,15,21,27,13,156,9.0
4,3.0,277.0,1725000,-36.8898532,174.81645880000002,7006118,48,33,48,30,18,27,9,204,3.0
4,3.0,543.0,3500000,-36.8462688,174.86509880000003,7006474,66,18,30,33,39,45,29,228,1.0
3,2.0,449.0,3100000,-36.8463819,174.8625265,7006474,66,18,30,33,39,45,29,228,1.0
1,1.0,70.0,445000,-37.0391848,174.8809426,7009597,120,42,42,27,27,33,8,291,10.0
2,2.0,809.0,750000,-37.0030833,174.573895,7007109,84,21,45,54,51,60,1,321,4.0
3,2.0,130.0,1575000,-36.89294,174.79404269999998,7005883,57,30,30,30,33,21,4,207,4.0
4,2.0,1055.0,1500000,-36.9278156,174.7295621,7007629,51,33,27,27,21,39,26,201,5.0
4,2.0,11759.0,1700000,-36.7114221,174.68332719999998,7001807,18,9,9,9,21,15,1,84,2.0
2,2.0,1051.0,1275000,-36.919146500000004,174.7643573,7007771,24,33,24,15,21,15,14,132,4.0
4,1.0,566.0,660000,-36.972631799999995,174.82683169999999,7008296,78,39,33,27,30,21,9,228,8.0
3,1.0,919.0,640000,-36.9117146,174.7022303,7007517,48,42,33,27,36,39,19,213,4.0
4,3.0,150.0,999000,-36.904061799999994,174.71738180000003,7004665,27,27,21,18,24,12,10,141,7.0
4,2.0,150.0,999000,-36.904061799999994,174.71738180000003,7004665,27,27,21,18,24,12,10,141,7.0
3,1.0,5638.0,580000,-36.177654700000005,175.3590697,7001130,39,9,18,24,24,42,4,153,9.0
3,2.0,373.0,820000,-36.9671685,174.8649469,7008620,45,30,27,21,18,15,29,165,9.0
4,4.0,603.0,3700000,-36.902012400000004,174.76128559999998,7005467,36,15,6,21,18,30,23,135,1.0
5,2.0,1203.0,660000,-36.9005066,174.7601404,7005467,36,15,6,21,18,30,26,135,1.0
3,3.0,541.0,1600000,-36.9017294,174.76061819999998,7005467,36,15,6,21,18,30,23,135,1.0
4,2.0,718.0,850000,-37.0756141,174.9473467,7010134,54,18,24,33,30,51,2,210,6.0
6,4.0,1284.0,4400000,-36.883145500000005,174.7933358,7005859,30,30,3,15,15,18,59,108,6.0
2,2.0,1232.0,1850000,-36.786035299999995,175.0185042,7003344,21,9,12,21,18,48,8,126,4.0
4,3.0,928.0,3550000,-36.873779799999994,174.7963636,7005837,66,12,3,33,45,36,59,198,1.0
3,1.0,90.0,540000,-37.0637794,174.9590698,7010192,81,48,45,27,30,27,19,261,9.0
4,2.0,872.0,900000,-36.9978874,174.9029335,7009748,45,36,24,24,39,42,4,207,3.0
4,2.0,782.0,1550000,-36.900187200000005,174.8813948,7006690,42,12,12,27,27,27,2,159,2.0
4,3.0,309.0,920000,-37.0817356,174.902696,7009834,21,0,6,21,12,15,14,75,5.0
5,3.0,480.0,1500000,-36.6902805,174.7422363,7002020,57,24,36,30,30,24,6,198,2.0
5,3.0,465.0,1450000,-36.6903871,174.7420748,7002020,57,24,36,30,30,24,6,198,2.0
5,4.0,488.0,610000,-36.8591469,174.81405619999998,7006054,24,15,18,18,18,33,13,126,6.0
1,1.0,4737.0,710000,-36.7852451,175.04199219999998,7003365,27,9,18,18,24,48,1,144,6.0
3,1.0,1464.0,1175000,-36.9798783,174.8691556,7008659,51,39,30,21,21,30,29,195,8.0
4,2.0,1019.0,1000000,-37.0098989,174.9140007,7009843,45,27,21,21,42,42,4,189,3.0
4,2.0,771.0,1030000,-37.0094625,174.9125187,7009843,45,27,21,21,42,42,4,189,3.0
3,2.0,874.0,840000,-36.97466970000001,174.83922130000002,7008422,39,30,30,9,9,9,29,120,9.0
4,2.0,1061.0,1025000,-36.6100686,174.78517490000002,7001688,45,12,15,27,30,51,9,171,2.0
3,2.0,985.0,1125000,-36.6990528,174.72989740000003,7001939,51,36,24,42,30,18,3,201,3.0
5,3.0,20226.0,2975000,-37.02897279999999,174.9313296,7010010,51,24,21,18,27,30,12,174,9.0
3,1.0,1292.0,5200000,-36.8455501,174.7296588,7004702,45,9,12,33,30,24,5,159,2.0
4,2.0,2861.0,1250000,-36.8978289,174.63568130000002,7004025,42,33,27,21,15,15,6,147,7.0
2,1.0,104.0,800000,-36.8748599,174.83010890000003,7006208,12,12,9,9,12,90,7,150,1.0
3,2.0,619.0,860000,-37.0439703,174.8906819,7009712,27,6,15,15,9,30,6,99,2.0
3,1.0,70.0,475000,-36.945907299999995,174.8425462,7008371,57,36,39,27,30,39,10,225,10.0
3,2.0,905.0,1175000,-36.945839,174.77864069999998,7007832,42,21,33,27,21,36,13,189,4.0
3,2.0,238.0,3375000,-36.8682435,174.80536919999997,7005964,27,15,3,12,24,30,59,105,5.0
5,4.0,274.0,1050000,-37.03813579999999,174.888505,7009698,102,24,27,21,9,15,6,201,10.0
3,2.0,714.0,640000,-37.0284281,174.9010774,7009799,36,36,24,18,9,21,37,138,9.0
3,1.0,675.0,580000,-37.0278558,174.9005844,7009799,36,36,24,18,9,21,37,138,9.0
3,1.0,607.0,1060000,-36.8746381,174.8487666,7006443,51,30,45,30,21,27,7,189,7.0
6,3.0,515.0,810000,-37.053133,174.9336381,7010041,84,45,21,21,21,33,12,231,10.0
5,3.0,208.0,350000,-37.0312948,174.8722419,7009479,69,30,24,15,18,9,37,156,10.0
4,2.0,382.0,2450000,-36.8587355,174.8300794,7006179,36,15,12,15,30,27,11,132,1.0
3,1.0,100.0,640000,-36.9163925,174.64256630000003,7007193,60,24,33,30,21,12,6,177,9.0
3,1.0,245.0,690000,-37.265020899999996,174.9412405,7010987,75,30,21,18,9,9,7,162,10.0
