Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,CU18,NZDep2018
3,1.0,279.0,1220000,-36.8839242,174.80260249999998,7005999,27,21,15,21,18,24,59,120,4.0
3,1.0,120.0,630000,-37.0230935,174.9208854,7009958,54,21,21,15,9,9,5,126,10.0
4,2.0,1037.0,1400000,-36.8949914,174.8937769,7006737,54,21,30,27,21,24,1,180,4.0
4,3.0,202.0,1340000,-36.8763644,174.8190155,7006075,54,12,27,30,24,45,59,189,3.0
4,2.0,1031.0,2450000,-36.8762123,174.8199745,7006075,54,12,27,30,24,45,59,189,3.0
3,1.0,602.0,530000,-37.0252348,174.8630015,7009471,105,48,42,27,30,12,5,267,10.0
4,2.0,810.0,730000,-37.213396200000005,174.9054744,7010539,48,15,12,27,27,36,13,168,2.0
3,1.0,475.0,810000,-36.903786,174.6686326,7004296,30,21,27,24,12,21,10,138,6.0
3,1.0,736.0,1170000,-36.7780575,174.7153418,7002617,45,42,30,18,15,30,6,174,4.0
3,1.0,110.0,540000,-37.0289075,174.9155234,7009880,54,18,18,18,9,6,5,123,10.0
4,1.0,99.0,485000,-37.02979929999999,174.911026,7009882,93,66,39,24,18,9,5,243,10.0
3,2.0,153.0,790000,-36.9208765,174.6304169,7007125,72,24,30,33,33,51,6,234,3.0
5,3.0,245.0,1240000,-36.8888684,174.8125681,7006106,57,42,45,42,9,30,59,228,2.0
4,1.0,2567.0,2725000,-36.889369,174.813201,7006106,57,42,45,42,9,30,9,228,2.0
3,1.0,1500.0,680000,-36.406573200000004,174.5450829,7001269,54,9,18,30,30,33,1,168,4.0
3,2.0,885.0,860000,-36.8646972,174.6521841,7004112,33,30,15,33,27,21,10,162,7.0
4,3.0,480.0,2275000,-36.8625187,174.7474227,7005129,21,30,27,24,18,21,10,147,3.0
4,2.0,377.0,850000,-36.9314956,174.8467009,7008343,51,57,42,27,30,39,18,234,7.0
3,1.0,688.0,780000,-36.931371,174.8475282,7008343,51,57,42,27,30,39,18,234,7.0
6,3.0,10557.0,1945000,-36.8395657,174.5907986,7003463,42,24,15,30,27,33,15,180,5.0
2,1.0,405.0,1000000,-36.895017100000004,174.8242295,7006236,42,15,48,39,12,24,9,186,4.0
3,2.0,561.0,710000,-37.0223681,174.92095319999999,7009955,87,24,33,39,21,27,5,231,8.0
4,2.0,255.0,810000,-37.0414044,174.9349884,7010021,75,72,66,33,15,15,12,276,3.0
5,3.0,519.0,540000,-36.5930625,174.6780098,7001409,0,0,0,0,0,0,11,18,7.0
4,2.0,650.0,590000,-36.590886499999996,174.66932,7001409,0,0,0,0,0,0,11,18,7.0
4,2.0,602.0,1075000,-36.590886499999996,174.66932,7001409,0,0,0,0,0,0,11,18,7.0
5,3.0,650.0,1250000,-36.5903256,174.6681286,7001409,0,0,0,0,0,0,11,18,7.0
5,3.0,519.0,1225000,-36.5937888,174.6739169,7001409,0,0,0,0,0,0,11,18,7.0
5,3.0,522.0,540000,-36.5930625,174.6780098,7001409,0,0,0,0,0,0,11,18,7.0
5,3.0,651.0,1260000,-36.5936147,174.67732469999999,7001409,0,0,0,0,0,0,11,18,7.0
4,2.0,559.0,1050000,-36.590886499999996,174.66932,7001409,0,0,0,0,0,0,11,18,7.0
5,3.0,420.0,1200000,-36.9861529,174.9072372,7009106,45,48,30,18,24,24,25,192,2.0
3,2.0,472.0,720000,-36.677469200000004,174.4522649,7001739,33,24,9,15,24,48,5,150,7.0
3,1.0,1067.0,580000,-36.9563698,174.8892654,7008844,45,27,12,15,15,15,3,132,10.0
3,1.0,726.0,570000,-36.955804799999996,174.8879416,7008844,45,27,12,15,15,15,3,132,10.0
3,2.0,251.0,1300000,-36.9047954,174.7739675,7007786,21,15,18,12,18,18,23,108,4.0
5,2.0,220.0,1225000,-36.800166299999994,174.7338294,7002953,42,33,21,21,6,18,2,141,5.0
5,3.0,420.0,1250000,-36.971777100000004,174.918647,7009239,39,21,30,18,9,12,25,129,3.0
4,2.0,1467.0,970000,-36.6109852,174.7127236,7001568,24,12,15,12,18,42,5,132,4.0
4,1.0,701.0,1000000,-36.915799799999995,174.73439419999997,7007615,42,33,24,18,12,21,26,150,9.0
